school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
A. C. Corcoran Elementary,Charleston 01,North Charleston,743,,Yes under Community Eligibility Option (CEO),false
A. C. Flora High,Richland 01,Columbia,1328,,Yes under Community Eligibility Option (CEO),true
A. C. Moore Elementary,Richland 01,Columbia,244,,Yes under Community Eligibility Option (CEO),false
A. J. Lewis Greenview Elementary,Richland 01,Columbia,358,,Yes under Community Eligibility Option (CEO),false
A. L. Corbett Middle,Aiken 01,Wagener,203,,Yes under Community Eligibility Option (CEO),true
A. R. Rucker Middle,Lancaster 01,Lancaster,477,,Yes under Community Eligibility Option (CEO),true
A.j. Whittenberg Elementary,Greenville 01,Greenville,491,,Yes under Community Eligibility Option (CEO),false
Abbeville High,Abbeville 60,Abbeville,463,,Yes participating without using any Provision or the CEO,true
Abner Creek Academy,Spartanburg 05,Duncan,807,,Yes participating without using any Provision or the CEO,false
Abner Creek Middle,Spartanburg 05,Greer,644,,Yes under Community Eligibility Option (CEO),false
Academic Magnet High,Charleston 01,North Charleston,740,,Yes participating without using any Provision or the CEO,false
Academy for Teaching and Learning,Chester 01,Chester,329,,Yes under Community Eligibility Option (CEO),true
Academy of Hope Charter,Horry 01,Conway,100,,Yes under Community Eligibility Option (CEO),true
Aiken Elementary,Aiken 01,Aiken,508,,Yes under Community Eligibility Option (CEO),false
Aiken High,Aiken 01,Aiken,1097,,Yes under Community Eligibility Option (CEO),true
Aiken Intermediate,Aiken 01,Aiken,427,,Yes under Community Eligibility Option (CEO),false
Aiken Scholars Academy,Aiken 01,Aiken,176,,Yes participating without using any Provision or the CEO,false
Airport High,Lexington 02,West Columbia,1272,,Yes participating without using any Provision or the CEO,true
Alcorn Middle,Richland 01,Columbia,381,,Yes under Community Eligibility Option (CEO),true
Alexander Elementary,Greenville 01,Greenville,494,,Yes under Community Eligibility Option (CEO),false
Alice Drive Elementary,Sumter 01,Sumter,530,,Yes under Community Eligibility Option (CEO),false
Alice Drive Middle,Sumter 01,Sumter,783,,Yes under Community Eligibility Option (CEO),true
Allegro Charter School of Music,Charleston 01,North Charleston,250,,Yes participating without using any Provision or the CEO,false
Allendale High,Dept Of Correction N04,Fairfax,8,,Yes participating without using any Provision or the CEO,false
Allendale-Fairfax Elementary,Allendale 01,Fairfax,407,,Yes under Community Eligibility Option (CEO),false
Allendale-Fairfax High,Allendale 01,Fairfax,252,,Yes under Community Eligibility Option (CEO),true
Allendale-Fairfax Middle,Allendale 01,Fairfax,196,,Yes under Community Eligibility Option (CEO),true
Alston Middle,Dorchester 02,Summerville,732,,Yes participating without using any Provision or the CEO,true
Alston-Bailey Elementary,Dorchester 02,Summerville,646,,Yes participating without using any Provision or the CEO,false
Ambler Elementary,Pickens 01,Pickens,316,,Yes participating without using any Provision or the CEO,false
American Leadership Academy South Carolina-Lexington Campu,Charter Institute at Erskine,Lexington,1979,,Yes participating without using any Provision or the CEO,false
Anderson Five Charter School,Anderson 05,Anderson,61,,Yes participating without using any Provision or the CEO,false
Anderson Mill Elementary,Spartanburg 06,Moore,629,,Yes participating without using any Provision or the CEO,false
Andrew Jackson High,Lancaster 01,Kershaw,557,,Yes participating without using any Provision or the CEO,false
Andrew Jackson Middle,Lancaster 01,Kershaw,480,,Yes participating without using any Provision or the CEO,false
Andrews Elementary,Georgetown 01,Andrews,604,,Yes under Community Eligibility Option (CEO),false
Andrews High,Georgetown 01,Andrews,471,,Yes under Community Eligibility Option (CEO),true
Angel Oak Elementary,Charleston 01,Johns Island,828,,Yes under Community Eligibility Option (CEO),false
Annie Burnside Elementary,Richland 01,Columbia,306,,Yes under Community Eligibility Option (CEO),false
Arcadia Elementary,Spartanburg 06,Spartanburg,400,,Yes under Community Eligibility Option (CEO),false
Arden Elementary,Richland 01,Columbia,216,,Yes under Community Eligibility Option (CEO),false
Armstrong Elementary,Greenville 01,Greenville,435,,Yes under Community Eligibility Option (CEO),false
Ascent Classical Academy-Fort Mill,Charter Institute at Erskine,Rock Hill,235,,No,false
Ashley Ridge High,Dorchester 02,Summerville,2599,,Yes participating without using any Provision or the CEO,false
Ashley River Creative Arts Elementary,Charleston 01,Charleston,618,,Yes participating without using any Provision or the CEO,false
Atlantic Collegiate Academy,Limestone Charters Association,Conway,502,,No,false
Augusta Circle Elementary,Greenville 01,Greenville,602,,Yes participating without using any Provision or the CEO,false
Aynor Elementary,Horry 01,Aynor,781,,Yes participating without using any Provision or the CEO,false
Aynor High,Horry 01,Aynor,901,,Yes participating without using any Provision or the CEO,false
Aynor Middle,Horry 01,Galivants Ferry,742,,Yes participating without using any Provision or the CEO,false
B. D. Lee Elementary,Cherokee 01,Gaffney,603,,Yes under Community Eligibility Option (CEO),false
Ballentine Elementary,Lexington 05,Irmo,523,,Yes participating without using any Provision or the CEO,false
Bamberg-Ehrhardt High,Bamberg 03,Bamberg,383,,Yes under Community Eligibility Option (CEO),true
Bamberg-Ehrhardt Middle,Bamberg 03,Bamberg,188,,Yes under Community Eligibility Option (CEO),true
Banks Trail Middle,York 04,Fort Mill,638,,Yes participating without using any Provision or the CEO,false
Baptist Hill High,Charleston 01,Hollywood,507,,Yes under Community Eligibility Option (CEO),true
Barnwell Elementary,Barnwell,Barnwell,425,,Yes under Community Eligibility Option (CEO),false
Barnwell High,Barnwell,Barnwell,557,,Yes under Community Eligibility Option (CEO),true
Barnwell Primary,Barnwell,Barnwell,680,,Yes under Community Eligibility Option (CEO),false
Bates Middle,Sumter 01,Sumter,481,,Yes under Community Eligibility Option (CEO),true
Batesburg-Leesville Elementary School,Lexington 03,Batesburg-Leesville,429,,Yes under Community Eligibility Option (CEO),false
Batesburg-Leesville High School,Lexington 03,Batesburg-Leesville,545,,Yes under Community Eligibility Option (CEO),true
Batesburg-Leesville Middle School,Lexington 03,Batesburg-Leesville,462,,Yes under Community Eligibility Option (CEO),true
Batesburg-Leesville Primary School,Lexington 03,Batesburg-Leesville,525,,Yes under Community Eligibility Option (CEO),false
Battery Creek High,Beaufort 01,Beaufort,809,,Yes participating without using any Provision or the CEO,false
Bay Road Elementary,Darlington 01,Hartsville,563,,Yes under Community Eligibility Option (CEO),false
Beaufort Elementary,Beaufort 01,Beaufort,375,,Yes under Community Eligibility Option (CEO),false
Beaufort High,Beaufort 01,Beaufort,1104,,Yes participating without using any Provision or the CEO,false
Beaufort Middle,Beaufort 01,Beaufort,348,,Yes under Community Eligibility Option (CEO),true
Beck International Academy,Greenville 01,Greenville,848,,Yes under Community Eligibility Option (CEO),false
Beech Hill Elementary,Dorchester 02,Summerville,1079,,Yes participating without using any Provision or the CEO,false
Beech Springs Middle,Spartanburg 05,Duncan,584,,Yes participating without using any Provision or the CEO,false
Beechwood Middle,Lexington 01,Lexington,1033,,Yes participating without using any Provision or the CEO,false
Bell's Crossing Elementary,Greenville 01,Simpsonville,877,,Yes participating without using any Provision or the CEO,false
Belle Hall Elementary,Charleston 01,Mt. Pleasant,649,,Yes participating without using any Provision or the CEO,false
Bells Elementary,Colleton 01,Ruffin,249,,Yes under Community Eligibility Option (CEO),false
Belton Elementary,Anderson 02,Belton,379,,Yes participating without using any Provision or the CEO,false
Belton Honea Path High,Anderson 02,Honea Path,1069,,Yes participating without using any Provision or the CEO,false
Belton Middle,Anderson 02,Belton,455,,Yes participating without using any Provision or the CEO,true
Belton Preparatory Academy,Charter Institute at Erskine,Belton,449,,No,false
Belvedere Elementary,Aiken 01,Belvedere,617,,Yes participating without using any Provision or the CEO,false
Ben Hazel Primary,Hampton,Hampton,222,,Yes under Community Eligibility Option (CEO),false
Bennettsville Intermediate,Marlboro 01,Bennettsville,244,,Yes under Community Eligibility Option (CEO),false
Bennettsville Primary,Marlboro 01,Bennettsville,552,,Yes under Community Eligibility Option (CEO),false
Berea Elementary,Greenville 01,Greenville,489,,Yes under Community Eligibility Option (CEO),false
Berea High,Greenville 01,Greenville,1250,,Yes under Community Eligibility Option (CEO),true
Berea Middle,Greenville 01,Greenville,757,,Yes under Community Eligibility Option (CEO),true
Berkeley County Middle College High,Berkeley 01,Charleston,117,,Yes participating without using any Provision or the CEO,false
Berkeley Elementary,Berkeley 01,Moncks Corner,658,,Yes under Community Eligibility Option (CEO),false
Berkeley High,Berkeley 01,Moncks Corner,2047,,Yes participating without using any Provision or the CEO,false
Berkeley Middle,Berkeley 01,Moncks Corner,1477,,Yes participating without using any Provision or the CEO,false
Berkeley Preparatory Academy,Charter Institute at Erskine,Summerville,764,,Yes participating without using any Provision or the CEO,false
Berry Shoals Elementary,Spartanburg 05,Duncan,476,,Yes under Community Eligibility Option (CEO),false
Bethany Elementary,York 02,Clover,388,,Yes participating without using any Provision or the CEO,false
